Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
112,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo  ,Game Freak  ,8.0,8.3,2.79,1.79,3.16,0.43,8.16
113,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision  ,Infinity Ward  ,,,3.11,3.83,0.19,1.36,8.48
114,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,,2.91,3.97,0.27,1.34,8.48
115,Mario Kart 8,WiiU,2014,Racing,Nintendo  ,Nintendo  ,8.8,,3.22,2.55,1.39,0.54,7.69
116,Tekken 3,PS,1998,Fighting,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
117,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo  ,Game Freak  ,8.1,,2.46,1.74,2.55,0.4,7.15
118,Splatoon 2,NS,2017,Shooter,Nintendo  ,Nintendo EPD  ,8.2,,1.9,1.8,3.01,0.34,7.04
119,FIFA 16,PS4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22
120,GoldenEye 007,N64,1997,Shooter,Nintendo  ,Rare Ltd.  ,9.8,,5.8,2.01,0.13,0.15,8.09
121,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts  ,EA DICE  ,7.1,,3.31,3.19,0.23,1.3,8.03
122,FIFA 13,PS3,2012,Sports,EA Sports  ,EA Canada  ,,,1.07,5.13,0.13,1.68,8.01
123,Halo 2,XB,2004,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49
124,The Sims 3,PC,2009,Simulation,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96
125,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72
126,Pac-Man,2600,1982,Puzzle,Atari  ,Atari  ,,,7.28,0.45,,0.08,7.81
127,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo  ,Game Freak  ,8.3,8.9,2.76,1.73,2.69,0.54,7.72
128,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6
129,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58
130,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision  ,Sledgehammer Games  ,8.5,,2.84,3.34,0.14,1.22,7.53
131,Call of Duty: World at War,X360,2008,Shooter,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5
132,Super Mario Bros. 2,NES,1988,Platform,Nintendo  ,Nintendo EAD  ,,,5.39,1.18,0.7,0.19,7.46
133,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
134,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo  ,HAL Laboratory  ,9.2,,4.41,1.04,1.39,0.22,7.07
135,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision  ,Treyarch  ,,,4.63,2.04,0.02,0.68,7.37
136,Battlefield 3,X360,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35
137,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
138,Battlefield 1,PS4,2016,Shooter,Electronic Arts  ,EA DICE  ,,,2.2,3.65,0.29,1.12,7.26
139,Battlefield 3,PS3,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21
140,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
141,The Binding of Isaac,PC,2011,Action,Edmund McMillen  ,Edmund McMillen  ,8.3,,,0.0,,0.0,0.0
142,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
143,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Role-Playing,Nintendo  ,Level 5  ,,,0.22,0.2,3.19,0.04,3.65
145,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
146,Just Dance 4,Wii,2012,Music,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89
147,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
148,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84
149,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts  ,EA Los Angeles  ,9.0,,2.93,2.75,0.17,0.99,6.83
150,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82
151,Zumba Fitness,Wii,2010,Sports,Majesco  ,"Pipeworks Software, Inc.  ",,,3.47,2.62,,0.67,6.76
152,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
153,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
154,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
155,FIFA 14,PS3,2013,Sports,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61
156,Red Dead Redemption,PS3,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57
157,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5
158,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,,,3.74,0.93,1.69,0.14,6.51
159,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
160,Guild Wars,PC,2005,Role-Playing,NCSoft  ,ArenaNet  ,8.7,,0.03,0.0,,0.0,0.04
161,Red Dead Redemption,X360,2010,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
162,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49
163,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95
164,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
165,Pokémon Crystal Version,GBC,2001,Role-Playing,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39
166,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios  ,Bungie  ,8.7,,4.34,1.34,0.06,0.61,6.35
167,Minecraft,PS4,2014,Misc,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
168,FIFA 15,PS4,2014,Sports,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32
169,Kingdom Hearts,PS2,2002,Role-Playing,Square EA  ,SquareSoft  ,8.5,,3.64,1.2,1.49,0.07,6.4
170,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom  ,Capcom  ,,,2.47,0.83,2.87,0.12,6.3
171,The Last of Us,PS3,2013,Action-Adventure,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,2.41,2.57,0.29,0.99,6.27
172,Driver,PS,1999,Action,GT Interactive  ,Reflections Interactive  ,8.5,,3.11,2.8,0.02,0.33,6.27
173,Call of Duty: WWII,XOne,2017,Shooter,Activision  ,Sledgehammer Games  ,,,3.75,1.91,,0.57,6.23
174,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,,2.83,2.17,0.13,1.02,6.15
175,Big Brain Academy,DS,2006,Misc,Nintendo  ,Nintendo EAD  ,7.7,,1.66,2.75,1.6,0.62,6.63
176,Minecraft,PS3,2014,Misc,Sony Computer Entertainment America  ,Mojang  ,,,2.21,2.86,,0.99,6.05
177,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami  ,Konami Computer Entertainment Japan  ,9.5,7.0,2.45,2.01,0.87,0.72,6.05
178,Metal Gear Solid,PS,1998,Action,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03
179,Myst,PC,1995,Adventure,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81
180,Sonic the Hedgehog 2,GEN,1992,Platform,Sega  ,Sonic Team  ,,,4.47,1.2,0.16,0.19,6.03
181,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6.0
182,Euro Truck Simulator 2,PC,2013,Simulation,SCS Software  ,SCS Software  ,8.5,,,0.13,,0.01,0.14
183,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47
184,Super Mario Sunshine,GC,2002,Platform,Nintendo  ,Nintendo EAD  ,9.2,,4.01,1.26,0.87,0.17,6.31
185,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.4,9.2,2.8,2.01,0.17,0.87,5.85
186,Age of Empires II: HD Edition,PC,2013,Strategy,Microsoft Studios  ,Hidden Path Entertainment  ,,,,,,,
187,Super Mario 3D World,WiiU,2013,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.5,,2.31,1.54,0.79,0.37,5.01
188,Link's Crossbow Training,Wii,2007,Shooter,Nintendo  ,Nintendo EAD  ,6.9,,3.05,1.17,0.29,0.46,4.98
189,Red Dead Redemption 2,XOne,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,3.76,1.47,,0.54,5.77
190,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo  ,Nintendo EAD  ,8.4,,2.3,1.63,1.32,0.38,5.62
191,Destiny,PS4,2014,Shooter,Activision  ,Bungie  ,,,2.53,2.13,0.16,0.94,5.76
192,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
193,Tekken 2,PS,1996,Fighting,Namco  ,Namco  ,9.1,,2.26,1.89,1.36,0.23,5.74
194,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment  ,Bluepoint Games  ,,,2.55,2.11,0.1,0.94,5.7
195,Super Mario World: Super Mario Advance 2,GBA,2002,Platform,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46
196,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts  ,Traveller's Tales  ,8.0,,3.57,1.57,,0.52,5.66
197,Cooking Mama,DS,2006,Simulation,Majesco  ,Office Create  ,6.6,,3.09,1.92,0.07,0.58,5.66
198,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Action-Adventure,Nintendo  ,GREZZO  ,9.5,,2.5,1.8,0.65,0.39,5.33
199,Tetris,NES,1989,Puzzle,Nintendo  ,Nintendo  ,,,2.97,0.69,1.81,0.11,5.58
200,Super Mario Advance,GBA,2001,Platform,Nintendo  ,Nintendo EAD  ,8.2,,3.14,1.24,0.91,0.2,5.49
201,Assassin's Creed II,PS3,2009,Action,Ubisoft  ,Ubisoft Montreal  ,9.0,,2.54,1.95,0.21,0.86,5.57
202,Super Smash Bros.,N64,1999,Fighting,Nintendo  ,HAL Laboratory  ,8.4,,2.95,0.6,1.97,0.04,5.55
203,Assassin's Creed,X360,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8.0,3.28,1.64,0.07,0.56,5.55
